Student	1500	3
100001	'lei bai'	'M'	
100002	'a pan'	'F'	
100003	'zong wei'	'M'	
100004	'zhang jiang'	'M'	
100005	'zi jiang'	'M'	
100006	'zuo wei'	'M'	
100007	'zun bi'	'F'	
100008	'fei he'	'M'	
100009	'ya ping'	'F'	
100010	'ping teng'	'F'	
100011	'zhui lv'	'M'	
100012	'cha xi'	'M'	
100013	'xuan qian'	'F'	
100014	'tuan tang'	'M'	
100015	'sa wei'	'F'	
100016	'jiao fu'	'M'	
100017	'hen bian'	'F'	
100018	'zeng fan'	'M'	
100019	'zei an'	'F'	
100020	'mie fei'	'M'	
100021	'zhu he'	'M'	
100022	'you xu'	'F'	
100023	'hua shen'	'M'	
100024	'cheng yun'	'M'	
100025	'di qi'	'M'	
100026	'zhai wang'	'F'	
100027	'song han'	'F'	
100028	'tuo qin'	'M'	
100029	'juan zhang'	'M'	
100030	'wa bi'	'F'	
100031	'guan hua'	'F'	
100032	'wo yuan'	'F'	
100033	'kua you'	'M'	
100034	'tuan an'	'M'	
100035	'ka yuan'	'F'	
100036	'rui tang'	'F'	
100037	'cou fei'	'M'	
100038	'shai miao'	'M'	
100039	'tan yang'	'F'	
100040	'gu lang'	'M'	
100041	'tui dou'	'M'	
100042	'dai kong'	'F'	
100043	'huan zhang'	'F'	
100044	'niang shi'	'M'	
100045	'yin qin'	'M'	
100046	'sun qi'	'F'	
100047	'yao he'	'M'	
100048	'gao he'	'M'	
100049	'lao feng'	'F'	
100050	'zu zhang'	'F'	
100051	'jun shui'	'F'	
100052	'yi he'	'M'	
100053	'xu zhang'	'F'	
100054	'nue pi'	'M'	
100055	'hong bi'	'F'	
100056	'fang ping'	'F'	
100057	'die wang'	'F'	
100058	'shuang pi'	'F'	
100059	'sheng chang'	'M'	
100060	'xiao wu'	'M'	
100061	'shu wei'	'M'	
100062	'xun fang'	'M'	
100063	'dou feng'	'F'	
100064	'hu ping'	'F'	
100065	'zui bu'	'M'	
100066	'cu feng'	'F'	
100067	'o zhang'	'M'	
100068	'xing yu'	'F'	
100069	'xun yu'	'F'	
100070	'mao ren'	'M'	
100071	'hun ma'	'M'	
100072	'song han'	'F'	
100073	'ru xiao'	'M'	
100074	'biao ge'	'F'	
100075	'gua zhang'	'M'	
100076	'suo peng'	'F'	
100077	'qin lian'	'M'	
100078	'mang kang'	'M'	
100079	'bu shi'	'M'	
100080	'shi lv'	'F'	
100081	'xiang zhang'	'M'	
100082	'mou cen'	'M'	
100083	'bang yu'	'M'	
100084	'sou yu'	'M'	
100085	'duan hao'	'M'	
100086	'zhi xue'	'M'	
100087	'ti wu'	'F'	
100088	'die he'	'M'	
100089	'chu xue'	'F'	
100090	'lun qi'	'M'	
100091	'chun xie'	'F'	
100092	'jia yin'	'F'	
100093	'fei le'	'M'	
100094	'rui yuan'	'M'	
100095	'mi an'	'M'	
100096	'beng chang'	'M'	
100097	'chao hua'	'F'	
100098	'juan jin'	'M'	
100099	'nuo lang'	'F'	
100100	're chang'	'F'	
100101	'cuo shi'	'M'	
100102	'zheng tang'	'F'	
100103	'xian le'	'F'	
100104	'zhao chang'	'M'	
100105	'xiang tao'	'M'	
100106	'ping yun'	'F'	
100107	'pou bi'	'M'	
100108	'shan yuan'	'M'	
100109	'ba bao'	'M'	
100110	'po jiang'	'F'	
100111	'nao shen'	'F'	
100112	'yin pan'	'F'	
100113	'bei le'	'F'	
100114	'diao qin'	'F'	
100115	'm ju'	'M'	
100116	'ce sun'	'M'	
100117	'mang chen'	'M'	
100118	'luo yu'	'M'	
100119	'shuan shi'	'M'	
100120	'man qi'	'F'	
100121	'she zhao'	'M'	
100122	'gan cao'	'F'	
100123	'bao jiang'	'M'	
100124	'lao chu'	'F'	
100125	'an gu'	'M'	
100126	'si wu'	'F'	
100127	'fei tang'	'F'	
100128	'zhuan sun'	'F'	
100129	'qian wu'	'F'	
100130	'jiao yuan'	'M'	
100131	'ruo chang'	'F'	
100132	'shen hao'	'F'	
100133	'chuo xu'	'F'	
100134	'chuai cen'	'F'	
100135	'gu hua'	'F'	
100136	'shen ma'	'F'	
100137	'lan wu'	'F'	
100138	'ti qin'	'F'	
100139	'yi kong'	'F'	
100140	'guan yan'	'M'	
100141	'yuan fan'	'M'	
100142	'huang fan'	'F'	
100143	'hua lv'	'F'	
100144	'wen qian'	'M'	
100145	'pi bian'	'F'	
100146	'mou li'	'F'	
100147	'shai luo'	'M'	
100148	'ku tang'	'M'	
100149	'shun pi'	'F'	
100150	'lao lv'	'M'	
100151	'xun ge'	'F'	
100152	'ta luo'	'M'	
100153	'niu wang'	'F'	
100154	'zha yu'	'F'	
100155	'chi feng'	'M'	
100156	'qiang wei'	'M'	
100157	'ti lv'	'M'	
100158	'jing hua'	'M'	
100159	'jun huang'	'M'	
100160	'gun chang'	'M'	
100161	'ri shen'	'M'	
100162	'qin huang'	'F'	
100163	'tiao gu'	'M'	
100164	'ao shui'	'M'	
100165	'te he'	'F'	
100166	'tian wu'	'M'	
100167	'yin lei'	'F'	
100168	'ze he'	'M'	
100169	'zou le'	'M'	
100170	'mian fan'	'M'	
100171	'pao yin'	'F'	
100172	'kang pi'	'M'	
100173	'niang wei'	'M'	
100174	'wan cao'	'M'	
100175	'chao peng'	'M'	
100176	'chao zheng'	'M'	
100177	'jiong luo'	'M'	
100178	'mao yan'	'M'	
100179	'tiao he'	'M'	
100180	'qi wei'	'F'	
100181	'mao zhao'	'F'	
100182	'shou yu'	'M'	
100183	'shua tang'	'M'	
100184	'pu lei'	'M'	
100185	'nv tang'	'F'	
100186	'fan qi'	'F'	
100187	'juan feng'	'F'	
100188	'mo xie'	'F'	
100189	'qi ren'	'F'	
100190	'ruan meng'	'M'	
100191	'dan yin'	'F'	
100192	'fen bian'	'F'	
100193	'ceng qian'	'M'	
100194	'meng su'	'M'	
100195	'bu zhao'	'M'	
100196	'shan bai'	'F'	
100197	'bin qi'	'M'	
100198	'ju wu'	'F'	
100199	'pao pan'	'M'	
100200	'chuang chang'	'F'	
100201	'er li'	'M'	
100202	'seng jiang'	'M'	
100203	'chou kong'	'F'	
100204	'jia cen'	'M'	
100205	'min chang'	'F'	
100206	'qing luo'	'M'	
100207	'zao qian'	'F'	
100208	'fan lv'	'F'	
100209	'zun ren'	'M'	
100210	'neng lian'	'M'	
100211	'she xi'	'F'	
100212	'zhong wei'	'F'	
100213	'gui yin'	'M'	
100214	'shuai shi'	'F'	
100215	'duan wu'	'M'	
100216	'zhua yu'	'F'	
100217	'mian wei'	'M'	
100218	'lou liu'	'M'	
100219	'duo xu'	'F'	
100220	'chen hao'	'M'	
100221	'pie yu'	'M'	
100222	'hen yuan'	'M'	
100223	'yue chu'	'M'	
100224	'jin he'	'M'	
100225	'da lang'	'F'	
100226	'sou cao'	'F'	
100227	'rong teng'	'M'	
100228	'bao peng'	'M'	
100229	'zeng yun'	'M'	
100230	'nuo ren'	'F'	
100231	'ti zhu'	'M'	
100232	'nu chang'	'F'	
100233	'hai shi'	'M'	
100234	'ru yuan'	'F'	
100235	'dong lu'	'M'	
100236	'nong zhang'	'M'	
100237	'qiu wang'	'M'	
100238	'yao yu'	'F'	
100239	'piao tao'	'M'	
100240	'gen he'	'M'	
100241	'qiao qi'	'F'	
100242	'tao zhou'	'F'	
100243	'shun xie'	'F'	
100244	'nian fan'	'F'	
100245	'nang kong'	'M'	
100246	'duo dou'	'F'	
100247	'tuo wei'	'M'	
100248	'du yang'	'F'	
100249	'yi he'	'M'	
100250	'jiao sun'	'F'	
100251	'yong he'	'M'	
100252	'shen xi'	'M'	
100253	'pi qi'	'M'	
100254	'gen zhang'	'M'	
100255	'ku bian'	'M'	
100256	'zhui zhang'	'M'	
100257	'gou zhao'	'M'	
100258	'wa gu'	'M'	
100259	'kao he'	'M'	
100260	'shi qi'	'F'	
100261	'yu ju'	'M'	
100262	'ti hua'	'M'	
100263	'nian huang'	'F'	
100264	'ma zheng'	'F'	
100265	'mo zhu'	'F'	
100266	'chuai bi'	'M'	
100267	'wen chen'	'F'	
100268	'che bai'	'F'	
100269	'dao li'	'M'	
100270	'sao feng'	'F'	
100271	'beng fu'	'M'	
100272	'hou lei'	'F'	
100273	'dao chang'	'F'	
100274	'lao lang'	'M'	
100275	'sa qin'	'F'	
100276	'tan wang'	'M'	
100277	'can hua'	'M'	
100278	'po wu'	'F'	
100279	'sen xi'	'F'	
100280	'wen he'	'M'	
100281	'zhai yan'	'F'	
100282	'di pan'	'M'	
100283	'yu wu'	'F'	
100284	'en cen'	'M'	
100285	'cheng yuan'	'F'	
100286	'yue yang'	'M'	
100287	'xin xiao'	'M'	
100288	'pi yuan'	'F'	
100289	'cha wang'	'M'	
100290	'xu he'	'M'	
100291	'dai feng'	'F'	
100292	'pian teng'	'F'	
100293	'lv bi'	'F'	
100294	'liu tang'	'M'	
100295	'biao xue'	'M'	
100296	'suan jiang'	'M'	
100297	'ha wu'	'M'	
100298	'kui kang'	'F'	
100299	'tuan ping'	'F'	
100300	'ruo yu'	'F'	
100301	'ei zhu'	'M'	
100302	'bei chu'	'F'	
100303	'en ju'	'M'	
100304	'she feng'	'M'	
100305	'shen tang'	'M'	
100306	'tun pan'	'M'	
100307	'hua peng'	'M'	
100308	'jiao han'	'F'	
100309	'nao miao'	'M'	
100310	'lue bao'	'F'	
100311	'di fan'	'F'	
100312	'wo qi'	'F'	
100313	'kui qian'	'F'	
100314	'guo hua'	'F'	
100315	'zang gu'	'M'	
100316	'xi he'	'M'	
100317	'lan xue'	'M'	
100318	'zei yang'	'F'	
100319	'biao xi'	'F'	
100320	'qin he'	'M'	
100321	'mou ren'	'F'	
100322	'm you'	'F'	
100323	'mai feng'	'M'	
100324	'qiong wu'	'F'	
100325	'tian feng'	'F'	
100326	'jian wei'	'F'	
100327	'seng liu'	'F'	
100328	'kao zhao'	'M'	
100329	'bo xu'	'M'	
100330	'nei ju'	'M'	
100331	'shuang yu'	'M'	
100332	'reng li'	'F'	
100333	'bing yin'	'M'	
100334	'shai fan'	'M'	
100335	'bei yang'	'F'	
100336	'tao fan'	'F'	
100337	'mou lu'	'M'	
100338	'tang xie'	'F'	
100339	'liu qin'	'M'	
100340	'chen lian'	'F'	
100341	'chun shen'	'M'	
100342	'mei chen'	'F'	
100343	'tou he'	'F'	
100344	'lian ren'	'F'	
100345	'lang yuan'	'F'	
100346	'chang sun'	'F'	
100347	'pian chang'	'F'	
100348	'zhuo qian'	'F'	
100349	'kuan wu'	'M'	
100350	'bi chang'	'M'	
100351	'ba qin'	'M'	
100352	'da an'	'F'	
100353	'hu pan'	'F'	
100354	'shai bu'	'M'	
100355	'dun yang'	'F'	
100356	'mou bu'	'F'	
100357	'jiao wu'	'F'	
100358	'shao huang'	'F'	
100359	'nian wei'	'M'	
100360	'heng hua'	'M'	
100361	'leng xi'	'M'	
100362	'miu jiang'	'M'	
