Exam	580	3
100949	300121	44	
100523	300004	91	
101132	300047	92	
100862	300110	73	
100047	300131	70	
100956	300188	100	
101202	300190	86	
101012	300067	85	
100262	300058	59	
101241	300157	74	
101059	300067	100	
101139	300168	95	
100622	300062	75	
101086	300148	92	
101103	300103	64	
100340	300062	100	
100772	300112	70	
100679	300069	86	
100507	300174	70	
100805	300053	73	
101397	300051	97	
101287	300187	67	
100442	300232	91	
100386	300136	100	
101249	300189	100	
100903	300183	90	
100476	300073	57	
100170	300128	100	
100513	300199	90	
100911	300215	57	
100546	300060	83	
100962	300161	82	
101286	300054	100	
101497	300052	70	
100861	300124	69	
101457	300190	70	
100621	300122	85	
101210	300030	78	
100350	300034	70	
101197	300125	80	
100932	300102	43	
101475	300013	63	
100436	300017	38	
100382	300078	92	
101373	300225	29	
100510	300173	63	
101040	300172	64	
100547	300143	99	
100477	300228	49	
100033	300183	97	
100139	300004	80	
101035	300126	79	
100883	300016	48	
100665	300030	99	
101470	300174	78	
101002	300153	75	
100058	300012	42	
100438	300059	85	
101067	300223	67	
100571	300072	55	
101321	300025	94	
100188	300211	78	
100318	300226	72	
100459	300075	88	
100988	300158	68	
100288	300053	60	
100056	300124	100	
101239	300177	74	
100922	300196	44	
101102	300123	100	
100838	300022	99	
101311	300098	52	
100041	300218	89	
100070	300221	69	
100332	300087	71	
100880	300043	86	
100476	300007	54	
100328	300124	80	
101274	300128	57	
101304	300097	91	
100318	300047	81	
100238	300060	83	
100755	300112	78	
100154	300141	94	
101156	300192	100	
100326	300154	100	
100004	300066	95	
101199	300022	96	
100604	300186	82	
100911	300142	54	
100096	300148	100	
101279	300081	39	
100727	300178	86	
100757	300231	100	
100216	300017	74	
100331	300038	64	
101268	300135	85	
100176	300193	81	
100590	300188	100	
100483	300045	88	
101178	300029	62	
100471	300227	51	
101083	300163	100	
100366	300168	97	
100378	300176	100	
101247	300222	89	
100961	300150	98	
100085	300191	75	
100403	300067	69	
100806	300182	48	
100536	300152	88	
100511	300139	95	
101001	300063	99	
100955	300131	100	
101387	300216	84	
100439	300131	79	
100431	300061	88	
101469	300056	81	
101119	300037	67	
101291	300060	100	
100348	300148	100	
100890	300194	71	
100402	300217	79	
100797	300173	100	
100477	300148	73	
100269	300068	100	
100920	300175	100	
101121	300146	91	
100282	300034	100	
100018	300065	63	
100525	300035	60	
100454	300089	100	
100904	300214	75	
100083	300106	100	
100921	300154	94	
101166	300002	91	
100662	300096	73	
100149	300204	74	
101296	300075	94	
100666	300233	97	
101175	300182	61	
